"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"capacitors:CP_10x13mm";1;"CE 220uF 50V 105C Fujicon";;;
2;"C2,C3,C4,C5,C6,C7,C9,C10,C11,C13,C15,C16";"smd_capacitors:c_1206";12;"10nF";;;
3;"C8";"smd_capacitors:c_1206";1;"10uF";;;
4;"C12";"smd_capacitors:c_1206";1;"100nF";;;
5;"C14";"smd_capacitors:c_1206";1;"100pF";;;
6;"D1";"led:LED-5MM";1;"LOCK";;;
7;"D2";"led:LED-5MM";1;"EN";;;
8;"D3";"led:LED-5MM";1;"UNLOCK";;;
9;"D4";"led:LED-5MM";1;"BUK";;;
10;"D5";"led:LED-5MM";1;"BD";;;
11;"D6";"led:LED-5MM";1;"BLK";;;
12;"D7,D8,D9";"discret:D3";3;"SB560 YJ / 60V / 5A / Schottky";;;
13;"D10,D11";"discret:D6.5";2;"SB560 YJ / 60V / 5A / Schottky";;;
14;"IC1,IC2,IC3,IC4,IC5,IC6";"dip_sockets:DIP-6__300_ELL";6;"4N25";;;
15;"JP1,JP2,JP3";"pin_array:PIN_ARRAY_3X1";3;"JUMPER";;;
16;"P1";"pesho:HD-515R-2P";1;"Power";;;
17;"P2";"pesho:HD-515R-6P";1;"Bulkey";;;
18;"P3";"connect:HE10_26D";1;"Raspberry Pi CONN";;;
19;"P4";"connect:SIL-3";1;"Serial";;;
20;"R1,R2,R3";"smd_capacitors:c_1206";3;"2.7K";;;
21;"R4,R5,R6";"smd_capacitors:c_1206";3;"820";;;
22;"RV1,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9";"pesho:3968W";9;"3296W(64W) 20K DIV";;;
23;"U1,U2,U3";"pesho:JE-112D";3;"JE-112D";;;
24;"D12,D13";"pesho:DO-214AB";2;"UF5GC SMD";;;
